Data,CAC40,MC.PA,OR.PA,RMS.PA,TTE.PA,SAN.PA,AIR.PA,SU.PA,AI.PA,EL.PA,BNP.PA,CS.PA,SAF.PA,DG.PA,STLAP.PA,KER.PA,TEP.PA,WLN.PA,VIV.PA,ALO.PA,ERF.PA,RNO.PA,CA.PA,EN.PA,PUB.PA,GLE.PA,VIE.PA,ML.PA,LR.PA,CAP.PA,SGO.PA,ORA.PA,HO.PA,ACA.PA,STMPA.PA,ENGI.PA,BN.PA,RI.PA,DSY.PA
2022-08-16T07:00:00.0,6592.580078125,688.7733764648438,357.7164611816406,1380.175048828125,47.46346664428711,83.47467803955078,108.98844146728516,133.73355102539062,133.7652130126953,159.63839721679688,46.86338424682617,23.136817932128906,111.36917877197266,91.66490173339844,13.650045394897461,550.4254150390625,304.6793518066406,44.02000045776367,9.092522621154785,23.808074951171875,75.04887390136719,30.50940704345703,16.736614227294922,29.095138549804688,49.794612884521484,21.935020446777344,24.172815322875977,25.995595932006836,80.9800033569336,184.36546325683594,44.42898178100586,9.61427116394043,121.85559844970703,9.158317565917969,37.288883209228516,11.796976089477539,52.34965515136719,189.51303100585938,42.529502868652344
2022-08-17T07:00:00.0,6528.31982421875,690.2516479492188,359.44219970703125,1384.1483154296875,47.500328063964844,78.731689453125,106.62212371826172,132.7729949951172,133.0581817626953,159.44192504882812,46.25106430053711,23.0097713470459,110.5373306274414,90.66362762451172,13.470511436462402,549.8400268554688,302.2254333496094,43.83000183105469,8.934646606445312,22.18321990966797,74.6557388305664,29.750267028808594,16.736614227294922,28.736055374145508,48.910911560058594,21.619409561157227,23.711833953857422,25.02978515625,80.04000091552734,182.6026153564453,43.05503463745117,9.64601993560791,123.02963256835938,9.026988983154297,35.671077728271484,11.773338317871094,52.30131149291992,190.1478271484375,42.2857666015625
2022-08-18T07:00:00.0,6557.39990234375,696.657470703125,358.75189208984375,1398.0543212890625,48.66156768798828,78.77989959716797,107.13483428955078,134.10601806640625,133.96160888671875,159.68753051757812,45.835060119628906,22.939189910888672,110.49771881103516,90.79841613769531,13.626229286193848,549.0594482421875,307.13330078125,43.400001525878906,8.7943115234375,22.094051361083984,74.6360855102539,30.008275985717773,16.81403160095215,28.906147003173828,48.85327911376953,21.526582717895508,23.385303497314453,25.087162017822266,80.55999755859375,183.43507385253906,41.94142150878906,9.642284393310547,121.95343780517578,8.924845695495605,36.82240295410156,11.747881889343262,51.904869079589844,190.19667053222656,42.61406326293945
2022-08-19T07:00:00.0,6495.830078125,688.1820068359375,357.1247863769531,1387.128173828125,48.5601921081543,78.72206115722656,104.74879455566406,131.83203125,134.0401611328125,158.8524932861328,44.55433654785156,22.830963134765625,108.85381317138672,90.29777526855469,13.22502613067627,544.5708618164062,304.3848876953125,42.77000045776367,8.75338077545166,21.69774627685547,73.59428405761719,29.08540153503418,16.843063354492188,28.802202224731445,48.87248992919922,20.909282684326172,23.17401885986328,24.666412353515625,79.27999877929688,182.35777282714844,41.681095123291016,9.690842628479004,122.3936996459961,8.738797187805176,36.34599304199219,11.762428283691406,51.87586212158203,190.8314666748047,42.31063461303711
2022-08-22T07:00:00.0,6378.740234375,672.70947265625,356.8782653808594,1368.7523193359375,48.88275909423828,79.99456787109375,101.79090118408203,126.02945709228516,129.66053771972656,153.7440643310547,43.451229095458984,22.37923812866211,106.79398345947266,88.83436584472656,12.693753242492676,527.3975830078125,299.18255615234375,42.0099983215332,8.759227752685547,21.133010864257812,71.21583557128906,27.800325393676758,16.69306755065918,28.32972526550293,47.085880279541016,20.278059005737305,22.34809112548828,23.867944717407227,76.44000244140625,177.11817932128906,40.249298095703125,9.668431282043457,122.49153137207031,8.505325317382812,35.30385208129883,11.740609169006348,51.469749450683594,189.70835876464844,40.31597900390625
2022-08-23T07:00:00.0,6362.02001953125,669.9500732421875,349.1864929199219,1354.349609375,50.46794128417969,78.56781005859375,101.43595886230469,125.51976776123047,128.6392822265625,152.31959533691406,43.5867805480957,22.39805793762207,105.98194122314453,89.19058990478516,12.854968070983887,525.6411743164062,294.27471923828125,41.79999923706055,8.817700386047363,21.073564529418945,69.74159240722656,27.671321868896484,16.528554916381836,28.339174270629883,46.893768310546875,20.370885848999023,22.184825897216797,23.757976531982422,76.18000030517578,176.8733367919922,40.23483657836914,9.61613941192627,121.85559844970703,8.533596992492676,35.467613220214844,11.755155563354492,51.19900894165039,185.9971923828125,39.34600830078125
2022-08-24T07:00:00.0,6386.759765625,676.8486328125,355.6455993652344,1384.6448974609375,49.435733795166016,78.42320251464844,101.86978149414062,126.85279083251953,129.87657165527344,154.9720458984375,43.61949920654297,22.271013259887695,106.35826110839844,89.46016693115234,12.983205795288086,530.42236328125,294.9618225097656,42.22999954223633,8.825496673583984,21.192455291748047,70.54751586914062,27.924367904663086,16.407590866088867,28.20688247680664,47.1050910949707,20.361602783203125,21.954334259033203,23.944446563720703,75.81999969482422,178.6361846923828,39.979331970214844,9.492878913879395,121.02397918701172,8.49255657196045,35.64130783081055,11.769701957702637,51.7404899597168,188.09693908691406,40.107059478759766
2022-08-25T07:00:00.0,6381.56005859375,677.7356567382812,354.56085205078125,1378.68505859375,49.804378509521484,77.55558776855469,102.44164276123047,124.79444885253906,129.71946716308594,154.3826141357422,43.596126556396484,22.228662490844727,106.06116485595703,89.60458374023438,12.909926414489746,530.3248291015625,294.07843017578125,42.06999969482422,8.80600643157959,20.81596565246582,71.09789276123047,28.112911224365234,16.504362106323242,28.065139770507812,47.33561706542969,20.268775939941406,22.098390579223633,23.887069702148438,75.26000213623047,178.68515014648438,40.03236389160156,9.477937698364258,122.14910125732422,8.46884536743164,36.246742248535156,11.738790512084961,51.62445831298828,186.7784881591797,40.301055908203125
2022-08-26T07:00:00.0,6274.259765625,659.3065795898438,347.855224609375,1327.53076171875,49.730655670166016,78.94377899169922,100.48943328857422,122.2264175415039,127.30378723144531,149.22506713867188,42.86227798461914,22.049854278564453,103.78347778320312,88.52628326416016,12.58933162689209,516.0787963867188,283.67376708984375,40.81999969482422,8.807954788208008,20.419660568237305,69.82022094726562,27.19500160217285,16.354366302490234,27.61155891418457,47.42206573486328,20.045989990234375,21.7142391204834,23.203351974487305,73.95999908447266,174.71871948242188,39.333335876464844,9.36214828491211,121.21965789794922,8.312891960144043,35.298885345458984,11.593328475952148,50.6865348815918,183.45799255371094,39.350982666015625
2022-08-29T07:00:00.0,6222.27978515625,653.2949829101562,342.037109375,1311.63818359375,50.13616180419922,78.48104858398438,98.9710464477539,119.81521606445312,125.92902374267578,147.80059814453125,42.77814483642578,21.922805786132812,102.39705657958984,88.36260986328125,12.596658706665039,504.5647888183594,275.91937255859375,40.93000030517578,8.790413856506348,20.45928955078125,68.54254150390625,27.77055549621582,16.36888313293457,27.6588077545166,46.941795349121094,20.208438873291016,21.502952575683594,23.131635665893555,72.45999908447266,170.89920043945312,39.10675811767578,9.524627685546875,119.26292419433594,8.311981201171875,34.8324089050293,11.091484069824219,50.638187408447266,181.0652618408203,38.41583251953125
